start,finish,algorithm,elapsed_time
1529688728.5340524,1529688728.6305013,merge1,0.09644889831542969
1529688743.6946445,1529688743.8362954,merge1,0.14165091514587402
1529688742.8473208,1529688742.9814727,merge1,0.13415193557739258
1529688723.8851836,1529688723.985179,merge1,0.09999537467956543
1529688732.645098,1529688732.7444808,merge1,0.09938287734985352
1529688742.1123998,1529688742.229223,merge1,0.11682319641113281
1529688741.432958,1529688741.538963,merge1,0.10600519180297852
1529688726.7906015,1529688726.8922138,merge1,0.10161232948303223
1529688740.5182676,1529688740.6768951,merge1,0.15862751007080078
1529688724.4693887,1529688724.5664878,merge1,0.09709906578063965
1529688733.2260158,1529688733.3247657,merge1,0.09874987602233887
1529688739.6937108,1529688739.8476613,merge1,0.15395045280456543
1529688738.981787,1529688739.0928538,merge1,0.11106681823730469
1529688733.8033538,1529688733.9036064,merge1,0.10025262832641602
1529688738.406589,1529688738.502804,merge1,0.09621500968933105
1529688725.0541315,1529688725.151365,merge1,0.09723353385925293
1529688737.8131583,1529688737.9147804,merge1,0.10162210464477539
1529688734.3779953,1529688734.4752853,merge1,0.0972900390625
1529688737.237018,1529688737.336983,merge1,0.09996485710144043
1529688736.6551363,1529688736.7530775,merge1,0.09794116020202637
1529688725.6276243,1529688725.7297366,merge1,0.1021122932434082
1529688726.2064703,1529688726.3053706,merge1,0.09890031814575195
1529688736.0910952,1529688736.1860518,merge1,0.09495663642883301
1529688751.5596113,1529688751.6574736,merge1,0.09786224365234375
1529688735.5216815,1529688735.6203647,merge1,0.09868311882019043
1529688744.3989897,1529688744.5113723,merge1,0.11238265037536621
1529688732.0575674,1529688732.157799,merge1,0.10023164749145508
1529688734.951887,1529688735.0480723,merge1,0.09618544578552246
1529688729.6963172,1529688729.7976816,merge1,0.1013643741607666
1529688749.2038214,1529688749.3018942,merge1,0.09807276725769043
1529688721.5747063,1529688721.6714084,merge1,0.09670209884643555
1529688748.6049252,1529688748.7057807,merge1,0.10085558891296387
1529688722.146006,1529688722.2422888,merge1,0.0962827205657959
1529688723.30093,1529688723.4000506,merge1,0.0991206169128418
1529688730.2953923,1529688730.3953574,merge1,0.09996509552001953
1529688748.0287602,1529688748.1266904,merge1,0.0979301929473877
1529688750.3766336,1529688750.47338,merge1,0.09674644470214844
1529688749.7906318,1529688749.8948946,merge1,0.1042628288269043
1529688747.4432547,1529688747.5411978,merge1,0.09794306755065918
1529688746.8744888,1529688746.9727967,merge1,0.09830784797668457
1529688722.7239494,1529688722.826204,merge1,0.10225462913513184
1529688750.9724383,1529688751.0723796,merge1,0.09994125366210938
1529688746.29793,1529688746.3960965,merge1,0.09816646575927734
1529688727.3718073,1529688727.4704387,merge1,0.09863138198852539
1529688729.1218255,1529688729.2200007,merge1,0.0981752872467041
1529688745.7195928,1529688745.8204894,merge1,0.10089659690856934
1529688731.4558492,1529688731.5552247,merge1,0.09937548637390137
1529688745.1046765,1529688745.2087338,merge1,0.10405731201171875
1529688730.8768196,1529688730.9760435,merge1,0.09922385215759277
1529688727.9501436,1529688728.0515904,merge1,0.10144686698913574
1529688729.2218301,1529688729.289139,partition_sort,0.06730890274047852
1529688734.476882,1529688734.5438719,partition_sort,0.06698989868164062
1529688731.5568337,1529688731.6255982,partition_sort,0.06876444816589355
1529688729.7994752,1529688729.8683991,partition_sort,0.0689239501953125
1529688730.3970416,1529688730.4650445,partition_sort,0.06800293922424316
1529688732.7460983,1529688732.8143623,partition_sort,0.06826400756835938
1529688730.9776208,1529688731.0446603,partition_sort,0.06703948974609375
1529688732.1593668,1529688732.2293131,partition_sort,0.0699462890625
1529688733.905338,1529688733.9739015,partition_sort,0.06856346130371094
1529688733.3263018,1529688733.3929193,partition_sort,0.06661748886108398
1529688735.621869,1529688735.6867585,partition_sort,0.06488943099975586
1529688736.1875024,1529688736.2529287,partition_sort,0.06542634963989258
1529688751.0739148,1529688751.1404886,partition_sort,0.0665738582611084
1529688750.474994,1529688750.543877,partition_sort,0.06888294219970703
1529688749.896776,1529688749.9675038,partition_sort,0.07072782516479492
1529688749.3036044,1529688749.3726292,partition_sort,0.06902480125427246
1529688748.7072866,1529688748.7781675,partition_sort,0.07088088989257812
1529688748.1282365,1529688748.1959918,partition_sort,0.06775522232055664
1529688747.5426886,1529688747.6092994,partition_sort,0.06661081314086914
1529688746.9743693,1529688747.0415716,partition_sort,0.06720232963562012
1529688746.3976207,1529688746.464322,partition_sort,0.06670141220092773
1529688745.8223417,1529688745.8904765,partition_sort,0.06813478469848633
1529688745.210355,1529688745.2811701,partition_sort,0.0708150863647461
1529688744.5133526,1529688744.6160476,partition_sort,0.10269498825073242
1529688743.838406,1529688743.926393,partition_sort,0.08798694610595703
1529688742.9839196,1529688743.0911705,partition_sort,0.10725092887878418
1529688742.2311184,1529688742.3028054,partition_sort,0.07168698310852051
1529688741.5409887,1529688741.6129665,partition_sort,0.07197785377502441
1529688740.679401,1529688740.7888367,partition_sort,0.1094357967376709
1529688739.8503494,1529688739.9552524,partition_sort,0.10490298271179199
1529688728.631971,1529688728.701241,partition_sort,0.06927013397216797
1529688738.5044029,1529688738.570524,partition_sort,0.06612110137939453
1529688737.9168165,1529688737.985795,partition_sort,0.06897854804992676
1529688737.3386862,1529688737.403294,partition_sort,0.06460785865783691
1529688736.7549458,1529688736.8237975,partition_sort,0.06885170936584473
1529688735.0495636,1529688735.1146197,partition_sort,0.06505608558654785
1529688739.095366,1529688739.17071,partition_sort,0.07534408569335938
1529688751.6590261,1529688751.7270365,partition_sort,0.06801033020019531
1529688723.4017446,1529688723.4692876,partition_sort,0.06754302978515625
1529688724.5680563,1529688724.636794,partition_sort,0.06873774528503418
1529688723.9867795,1529688724.0536904,partition_sort,0.06691098213195801
1529688726.30698,1529688726.374561,partition_sort,0.0675811767578125
1529688721.6729705,1529688721.7399697,partition_sort,0.06699919700622559
1529688728.0532358,1529688728.1216397,partition_sort,0.06840395927429199
1529688727.4720871,1529688727.5390027,partition_sort,0.06691551208496094
1529688726.8941255,1529688726.9627368,partition_sort,0.06861138343811035
1529688725.1529343,1529688725.2195957,partition_sort,0.06666135787963867
1529688725.7313204,1529688725.7981327,partition_sort,0.06681227684020996
1529688722.828106,1529688722.8961244,partition_sort,0.06801843643188477
1529688722.2438169,1529688722.312712,partition_sort,0.06889510154724121
1529688743.9282181,1529688744.0056324,qs1,0.07741427421569824
1529688724.0552433,1529688724.1111717,qs1,0.05592846870422363
1529688732.8161347,1529688732.8735397,qs1,0.05740499496459961
1529688723.4709501,1529688723.525143,qs1,0.05419278144836426
1529688743.0932992,1529688743.1761577,qs1,0.08285856246948242
1529688742.3046274,1529688742.3822393,qs1,0.07761192321777344
1529688732.2310998,1529688732.2871335,qs1,0.05603361129760742
1529688733.394588,1529688733.4490776,qs1,0.0544896125793457
1529688726.9646063,1529688727.0214577,qs1,0.05685138702392578
1529688733.975463,1529688734.029979,qs1,0.05451607704162598
1529688740.7914143,1529688740.8775244,qs1,0.08611011505126953
1529688736.25459,1529688736.310675,qs1,0.05608487129211426
1529688736.8254833,1529688736.8809924,qs1,0.055509090423583984
1529688735.6883476,1529688735.7438674,qs1,0.055519819259643555
1529688737.404856,1529688737.45846,qs1,0.0536041259765625
1529688725.2214217,1529688725.2771425,qs1,0.05572080612182617
1529688735.1161702,1529688735.1706762,qs1,0.05450606346130371
1529688741.6148884,1529688741.6744025,qs1,0.05951404571533203
1529688737.9875662,1529688738.0432823,qs1,0.05571603775024414
1529688739.1728094,1529688739.2299008,qs1,0.057091474533081055
1529688734.5456378,1529688734.6009364,qs1,0.055298566818237305
